"id","decisionnum","deckl","deckr","pair","deckchoice","effort_type","prog_type","effchoice","progchoice"
"A13WTEQ06V3B6D",52,"deck5","deck4","4-5",82,"LM","Prog_Prog",0,1
"A13WTEQ06V3B6D",53,"deck4","deck5","4-5",82,"LM","Prog_Prog",1,1
"A13WTEQ06V3B6D",54,"deck2","deck1","1-2",82,"LM","NoProg_NoProg",0,0
"A13WTEQ06V3B6D",55,"deck1","deck4","1-4",82,"LL","NoProg_Prog",NA,1
"A13WTEQ06V3B6D",56,"deck1","deck6","1-6",82,"LH","NoProg_Prog",1,1
"A13WTEQ06V3B6D",57,"deck4","deck6","4-6",82,"LH","Prog_Prog",1,1
"A13WTEQ06V3B6D",58,"deck2","deck5","2-5",82,"MM","NoProg_Prog",NA,1
"A13WTEQ06V3B6D",59,"deck3","deck4","3-4",82,"LH","Prog_NoProg",0,1
"A13WTEQ06V3B6D",60,"deck6","deck2","2-6",82,"MH","NoProg_Prog",0,0
"A17LZ3WK12T7CJ",1,"deck4","deck1","1-4",82,"LL","NoProg_Prog",NA,0
"A17LZ3WK12T7CJ",2,"deck6","deck3","3-6",82,"HH","NoProg_Prog",NA,0
"A17LZ3WK12T7CJ",3,"deck6","deck4","4-6",82,"LH","Prog_Prog",0,1
"A17LZ3WK12T7CJ",4,"deck4","deck3","3-4",76,"LH","Prog_NoProg",0,1
"A17LZ3WK12T7CJ",5,"deck3","deck5","3-5",82,"MH","Prog_NoProg",0,1
"A17LZ3WK12T7CJ",6,"deck4","deck6","4-6",76,"LH","Prog_Prog",0,1
"A17LZ3WK12T7CJ",7,"deck6","deck2","2-6",82,"MH","NoProg_Prog",0,0
"A17LZ3WK12T7CJ",8,"deck5","deck2","2-5",76,"MM","NoProg_Prog",NA,1
"A17LZ3WK12T7CJ",9,"deck4","deck2","2-4",76,"LM","Prog_NoProg",0,1
"A17LZ3WK12T7CJ",10,"deck3","deck4","3-4",76,"LH","Prog_NoProg",1,0
"A17LZ3WK12T7CJ",11,"deck6","deck4","4-6",82,"LH","Prog_Prog",0,1
"A17LZ3WK12T7CJ",12,"deck3","deck4","3-4",76,"LH","Prog_NoProg",1,0
"A17LZ3WK12T7CJ",13,"deck4","deck2","2-4",76,"LM","Prog_NoProg",0,1
"A17LZ3WK12T7CJ",14,"deck2","deck4","2-4",82,"LM","Prog_NoProg",0,1
"A17LZ3WK12T7CJ",15,"deck1","deck4","1-4",82,"LL","NoProg_Prog",NA,1
"A17LZ3WK12T7CJ",16,"deck2","deck6","2-6",76,"MH","NoProg_Prog",0,0
"A17LZ3WK12T7CJ",17,"deck2","deck3","2-3",76,"MH","NoProg_NoProg",0,0
"A17LZ3WK12T7CJ",18,"deck1","deck2","1-2",76,"LM","NoProg_NoProg",0,0
"A17LZ3WK12T7CJ",19,"deck3","deck6","3-6",76,"HH","NoProg_Prog",NA,0
